,emb1_scaled,emb2_scaled,Timestamp,Compound,Compound_Concentration,Growth_Condition_Binary
0,0.19117564,0.179075,8.733333333333333,2AD5Cl-3Cl,0.01,0
1,0.17566323,0.18910901,8.733333333333333,2AD5Cl-3Cl,0.01,0
2,0.09653017,0.27673614,8.733333333333333,2AD5Cl-3Cl,0.01,0
3,0.035823107,0.35744268,8.733333333333333,2AD5Cl-3Cl,0.01,0
4,0.05280626,0.3041088,8.733333333333333,2AD5Cl-3Cl,0.01,0
5,0.08219457,0.2743585,8.733333333333333,2AD5Cl-3Cl,0.01,0
6,0.46287644,0.65053356,8.733333333333333,2AD5Cl-3Cl,0.01,0
7,0.17634082,0.19394109,8.733333333333333,2AD5Cl-3Cl,0.01,0
8,0.2846683,0.10643114,8.733333333333333,2AD5Cl-3Cl,0.01,0
9,0.11312997,0.24972424,8.733333333333333,2AD5Cl-3Cl,0.01,0
10,0.30850002,0.09020817,8.733333333333333,2AD5Cl-3Cl,0.01,0
11,0.25490183,0.12494552,8.733333333333333,2AD5Cl-3Cl,0.01,0
12,0.2907085,0.10184103,8.733333333333333,2AD5Cl-3Cl,0.01,0
13,0.05586207,0.5792907,8.733333333333333,2AD5Cl-3Cl,0.01,0
14,0.30683944,0.09500635,8.733333333333333,2AD5Cl-3Cl,0.01,0
15,0.4573706,0.6716498,8.733333333333333,2AD5Cl-3Cl,0.01,0
16,0.06259358,0.6278014,8.733333333333333,2AD5Cl-3Cl,0.01,0
17,0.2612466,0.11777721,8.733333333333333,2AD5Cl-3Cl,0.01,0
18,0.21452901,0.1563201,8.733333333333333,2AD5Cl-3Cl,0.01,0
19,0.2570646,0.12493554,8.733333333333333,2AD5Cl-3Cl,0.01,0
20,0.04426241,0.5330769,8.733333333333333,2AD5Cl-3Cl,0.01,0
21,0.30391622,0.09581426,8.733333333333333,2AD5Cl-3Cl,0.01,0
22,0.045672596,0.3343967,8.733333333333333,2AD5Cl-3Cl,0.01,0
23,0.2640565,0.11737944,8.733333333333333,2AD5Cl-3Cl,0.01,0
24,0.27520818,0.6585573,8.733333333333333,2AD5Cl-3Cl,0.01,0
25,0.28415155,0.104415074,8.733333333333333,2AD5Cl-3Cl,0.01,0
26,0.2877348,0.6717007,8.733333333333333,2AD5Cl-3Cl,0.01,0
27,0.27670017,0.6607933,8.733333333333333,2AD5Cl-3Cl,0.01,0
28,0.3082458,0.097971946,8.733333333333333,2AD5Cl-3Cl,0.01,0
29,0.009604156,0.46648046,8.733333333333333,2AD5Cl-3Cl,0.01,0
30,0.026272118,0.50893337,8.733333333333333,2AD5Cl-3Cl,0.01,0
31,0.2950206,0.09943989,8.733333333333333,2AD5Cl-3Cl,0.01,0
32,0.027925074,0.52321905,8.733333333333333,2AD5Cl-3Cl,0.01,0
33,0.23694837,0.6832005,8.733333333333333,2AD5Cl-3Cl,0.01,0
34,0.034803033,0.40463126,8.733333333333333,2AD5Cl-3Cl,0.01,0
35,0.4860332,0.70476234,8.733333333333333,2AD5Cl-3Cl,0.01,0
36,0.2667297,0.11612645,8.733333333333333,2AD5Cl-3Cl,0.01,0
37,0.072681606,0.30433422,8.733333333333333,2AD5Cl-3Cl,0.01,0
38,0.15333563,0.21102521,8.733333333333333,2AD5Cl-3Cl,0.01,0
39,0.26334682,0.117843196,8.733333333333333,2AD5Cl-3Cl,0.01,0
40,0.18458125,0.62503195,8.733333333333333,2AD5Cl-3Cl,0.01,0
41,0.22489986,0.6323248,8.733333333333333,2AD5Cl-3Cl,0.01,0
42,0.26217887,0.11981602,8.733333333333333,2AD5Cl-3Cl,0.01,0
43,0.041516006,0.37378484,8.733333333333333,2AD5Cl-3Cl,0.01,1
44,0.37266916,0.65633166,8.733333333333333,2AD5Cl-3Cl,0.01,1
45,0.06270042,0.29571494,8.733333333333333,2AD5Cl-3Cl,0.01,1
46,0.12485227,0.23431888,8.733333333333333,2AD5Cl-3Cl,0.01,1
47,0.22692585,0.14413539,8.733333333333333,2AD5Cl-3Cl,0.01,1
48,0.29091975,0.10530217,8.733333333333333,2AD5Cl-3Cl,0.01,1
49,0.07362512,0.56639814,8.733333333333333,2AD5Cl-3Cl,0.01,1
50,0.12013927,0.2438426,8.733333333333333,2AD5Cl-3Cl,0.01,1
51,0.099211395,0.25911537,8.733333333333333,2AD5Cl-3Cl,0.01,1
52,0.048231483,0.5702482,8.733333333333333,2AD5Cl-3Cl,0.01,1
53,0.25436768,0.12196471,8.733333333333333,2AD5Cl-3Cl,0.01,1
54,0.23179576,0.14086379,8.733333333333333,2AD5Cl-3Cl,0.01,1
55,0.2957656,0.10034558,8.733333333333333,2AD5Cl-3Cl,0.01,1
56,0.31184286,0.091528,8.733333333333333,2AD5Cl-3Cl,0.01,1
57,0.27454066,0.111640796,8.733333333333333,2AD5Cl-3Cl,0.01,1
58,0.33409408,0.6503614,8.733333333333333,2AD5Cl-3Cl,0.01,1
59,0.17852357,0.19354856,8.733333333333333,2AD5Cl-3Cl,0.01,1
60,0.2544873,0.1256042,8.733333333333333,2AD5Cl-3Cl,0.01,1
61,0.19452155,0.17434601,8.733333333333333,2AD5Cl-3Cl,0.01,1
62,0.03285104,0.5320858,8.733333333333333,2AD5Cl-3Cl,0.01,1
63,0.026723385,0.36808953,8.733333333333333,2AD5Cl-3Cl,0.01,1
64,0.30151108,0.09783721,8.733333333333333,2AD5Cl-3Cl,0.01,1
65,0.2968961,0.098775715,8.733333333333333,2AD5Cl-3Cl,0.01,1
66,0.00956893,0.4538285,8.733333333333333,2AD5Cl-3Cl,0.01,1
67,0.23094061,0.14219092,8.733333333333333,2AD5Cl-3Cl,0.01,1
68,0.2694104,0.11570516,8.733333333333333,2AD5Cl-3Cl,0.01,1
69,0.25944316,0.11979297,8.733333333333333,2AD5Cl-3Cl,0.01,1
70,0.037493408,0.5260234,8.733333333333333,2AD5Cl-3Cl,0.01,1
71,0.2837761,0.104641825,8.733333333333333,2AD5Cl-3Cl,0.01,1
72,0.29538614,0.09772077,8.733333333333333,2AD5Cl-3Cl,0.01,1
73,0.19873607,0.16867886,8.733333333333333,2AD5Cl-3Cl,0.01,1
74,0.25261858,0.12419601,8.733333333333333,2AD5Cl-3Cl,0.01,1
75,0.2613493,0.121252954,8.733333333333333,2AD5Cl-3Cl,0.01,1
76,0.2783187,0.10793355,8.733333333333333,2AD5Cl-3Cl,0.01,1
77,0.24145651,0.13338883,8.733333333333333,2AD5Cl-3Cl,0.01,1
78,0.28008375,0.10667683,8.733333333333333,2AD5Cl-3Cl,0.01,1
79,0.29290494,0.0987995,8.733333333333333,2AD5Cl-3Cl,0.01,1
80,0.16101378,0.20458174,8.733333333333333,2AD5Cl-3Cl,0.01,1
81,0.28215647,0.10583119,8.733333333333333,2AD5Cl-3Cl,0.1,0
82,0.1604105,0.64889604,8.733333333333333,2AD5Cl-3Cl,0.1,0
83,0.0066250563,0.44302008,8.733333333333333,2AD5Cl-3Cl,0.1,0
84,0.23371923,0.6276926,8.733333333333333,2AD5Cl-3Cl,0.1,0
85,0.14891514,0.21207088,8.733333333333333,2AD5Cl-3Cl,0.1,0
86,0.078365415,0.28181803,8.733333333333333,2AD5Cl-3Cl,0.1,0
87,0.26420557,0.6116614,8.733333333333333,2AD5Cl-3Cl,0.1,0
88,0.16808072,0.6090732,8.733333333333333,2AD5Cl-3Cl,0.1,0
89,0.10095188,0.6122885,8.733333333333333,2AD5Cl-3Cl,0.1,0
90,0.2108641,0.16134295,8.733333333333333,2AD5Cl-3Cl,0.1,0
91,0.22700098,0.6551448,8.733333333333333,2AD5Cl-3Cl,0.1,0
92,0.06529412,0.57899916,8.733333333333333,2AD5Cl-3Cl,0.1,0
93,0.23537642,0.14231816,8.733333333333333,2AD5Cl-3Cl,0.1,0
94,0.005390346,0.41796142,8.733333333333333,2AD5Cl-3Cl,0.1,0
95,0.01726228,0.38269708,8.733333333333333,2AD5Cl-3Cl,0.1,0
96,0.019558549,0.5281013,8.733333333333333,2AD5Cl-3Cl,0.1,0
97,0.22915646,0.14565438,8.733333333333333,2AD5Cl-3Cl,0.1,0
98,0.19998068,0.17253295,8.733333333333333,2AD5Cl-3Cl,0.1,0
99,0.26423573,0.12304534,8.733333333333333,2AD5Cl-3Cl,0.1,0
100,0.26969978,0.1144124,8.733333333333333,2AD5Cl-3Cl,0.1,0
101,0.24569452,0.13120936,8.733333333333333,2AD5Cl-3Cl,0.1,0
102,0.23661757,0.13773233,8.733333333333333,2AD5Cl-3Cl,0.1,0
103,0.47345278,0.6257319,8.733333333333333,2AD5Cl-3Cl,0.1,0
104,0.17275736,0.19280559,8.733333333333333,2AD5Cl-3Cl,0.1,0
105,0.020580053,0.5031317,8.733333333333333,2AD5Cl-3Cl,0.1,0
106,0.24993783,0.1273815,8.733333333333333,2AD5Cl-3Cl,0.1,0
107,0.26174015,0.119723454,8.733333333333333,2AD5Cl-3Cl,0.1,0
108,0.30007014,0.096800625,8.733333333333333,2AD5Cl-3Cl,0.1,0
109,0.3222028,0.083474636,8.733333333333333,2AD5Cl-3Cl,0.1,0
110,0.27721578,0.10719977,8.733333333333333,2AD5Cl-3Cl,0.1,0
111,0.31355575,0.6660424,8.733333333333333,2AD5Cl-3Cl,0.1,0
112,0.15436235,0.21803094,8.733333333333333,2AD5Cl-3Cl,0.1,0
113,0.05951029,0.32214588,8.733333333333333,2AD5Cl-3Cl,0.1,0
114,0.15718535,0.20827681,8.733333333333333,2AD5Cl-3Cl,0.1,0
115,0.23342484,0.14387117,8.733333333333333,2AD5Cl-3Cl,0.1,0
116,0.06664008,0.28876546,8.733333333333333,2AD5Cl-3Cl,0.1,0
